X [ m ], Y [ m ], Z [ m ], Density [ kg m^-3 ], Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.43191023e-02, 7.69928843e-02, -5.28350472e-02, 3.54447961e+00, 4.57890700e+06, 3.46784155e+03, 0.00000000e+00
5.69829755e-02, 7.19978586e-02, -4.96190004e-02, 3.54528832e+00, 4.58018600e+06, 3.46802368e+03, 0.00000000e+00
1.62693635e-02, 6.45407587e-02, -7.25823492e-02, 3.54594421e+00, 4.58118250e+06, 3.46813281e+03, 0.00000000e+00
5.77692278e-02, 5.67077175e-02, -4.30889577e-02, 3.54527807e+00, 4.58030500e+06, 3.46810352e+03, 0.00000000e+00
5.91129474e-02, 6.70158863e-02, -4.60018292e-02, 3.54589677e+00, 4.58115650e+06, 3.46816138e+03, 0.00000000e+00
3.78255285e-02, 3.02019063e-02, -3.52588855e-02, 3.49601007e+00, 4.50916400e+06, 3.46033228e+03, 0.00000000e+00
4.64934036e-02, 3.62897962e-02, -3.61812748e-02, 3.53030014e+00, 4.55819050e+06, 3.46563770e+03, 0.00000000e+00
5.22551835e-02, 4.04677019e-02, -3.46220247e-02, 3.53640842e+00, 4.56714000e+06, 3.46662793e+03, 0.00000000e+00
5.79633228e-02, 5.04122078e-02, -3.78601886e-02, 3.54341340e+00, 4.57754600e+06, 3.46781006e+03, 0.00000000e+00
5.71172759e-02, 4.44857739e-02, -3.24698500e-02, 3.54028249e+00, 4.57288900e+06, 3.46728760e+03, 0.00000000e+00
3.00999433e-02, 2.46912707e-02, -3.13216746e-02, 3.36367512e+00, 4.30306450e+06, 3.43456079e+03, 0.00000000e+00
2.26470027e-02, 1.79384369e-02, -2.93453466e-02, 3.05894089e+00, 3.84003750e+06, 3.36638647e+03, 0.00000000e+00
2.11509373e-02, 2.26241350e-02, -3.52713093e-02, 3.28899050e+00, 4.18960125e+06, 3.41873535e+03, 0.00000000e+00
1.84098557e-02, 3.32971253e-02, -5.25269657e-02, 3.51838064e+00, 4.54094050e+06, 3.46375439e+03, 0.00000000e+00
1.57755204e-02, 3.67286876e-02, -5.71924224e-02, 3.52978349e+00, 4.55737450e+06, 3.46551123e+03, 0.00000000e+00
1.87811945e-02, 2.46879533e-02, -3.91658619e-02, 3.36328983e+00, 4.30237500e+06, 3.43440796e+03, 0.00000000e+00
1.67660303e-02, 2.76633762e-02, -4.47761975e-02, 3.45375347e+00, 4.44495150e+06, 3.45256445e+03, 0.00000000e+00
1.25320684e-02, 4.39803936e-02, -6.41523823e-02, 3.54025197e+00, 4.57274650e+06, 3.46720898e+03, 0.00000000e+00
7.97156896e-03, 4.87523377e-02, -6.78907484e-02, 3.54259086e+00, 4.57622700e+06, 3.46760205e+03, 0.00000000e+00
3.93299572e-03, 5.49648926e-02, -7.12506473e-02, 3.54477954e+00, 4.57948600e+06, 3.46796240e+03, 0.00000000e+00
